Store,Date,Sales,Open,Promo,DayOfWeek,StoreType
1,2013-01-01,6802,1,0,1,a
1,2013-01-02,8196,1,1,2,a
1,2013-01-03,7748,1,1,3,a
1,2013-01-04,6611,1,0,4,a
1,2013-01-05,5243,1,0,5,a
1,2013-01-06,0,0,0,6,a
1,2013-01-07,8735,1,1,0,a
1,2013-01-08,6607,1,0,1,a
1,2013-01-09,8876,1,1,2,a
1,2013-01-10,7040,1,0,3,a
1,2013-01-11,8716,1,1,4,a
1,2013-01-12,5490,1,0,5,a
1,2013-01-13,0,0,1,6,a
1,2013-01-14,8622,1,1,0,a
1,2013-01-15,7128,1,0,1,a
1,2013-01-16,7033,1,0,2,a
1,2013-01-17,7558,1,0,3,a
1,2013-01-18,7279,1,0,4,a
1,2013-01-19,6220,1,1,5,a
1,2013-01-20,0,0,0,6,a
1,2013-01-21,8453,1,1,0,a
1,2013-01-22,7775,1,0,1,a
1,2013-01-23,9047,1,1,2,a
1,2013-01-24,9155,1,1,3,a
1,2013-01-25,8568,1,1,4,a
1,2013-01-26,5821,1,0,5,a
1,2013-01-27,0,0,1,6,a
1,2013-01-28,9544,1,1,0,a
1,2013-01-29,9691,1,1,1,a
1,2013-01-30,9595,1,1,2,a
1,2013-01-31,9105,1,1,3,a
1,2013-02-01,7793,1,0,4,a
1,2013-02-02,5583,1,0,5,a
1,2013-02-03,0,0,0,6,a
1,2013-02-04,9550,1,1,0,a
1,2013-02-05,9055,1,1,1,a
1,2013-02-06,7865,1,0,2,a
1,2013-02-07,7834,1,0,3,a
1,2013-02-08,9885,1,1,4,a
1,2013-02-09,5740,1,0,5,a
1,2013-02-10,0,0,0,6,a
1,2013-02-11,7746,1,0,0,a
1,2013-02-12,7778,1,0,1,a
1,2013-02-13,8423,1,0,2,a
1,2013-02-14,10032,1,1,3,a
1,2013-02-15,9735,1,1,4,a
1,2013-02-16,6720,1,1,5,a
1,2013-02-17,0,0,1,6,a
1,2013-02-18,10406,1,1,0,a
1,2013-02-19,8002,1,0,1,a
1,2013-02-20,8311,1,0,2,a
1,2013-02-21,10106,1,1,3,a
1,2013-02-22,8168,1,0,4,a
1,2013-02-23,6600,1,1,5,a
1,2013-02-24,0,0,0,6,a
1,2013-02-25,8694,1,0,0,a
1,2013-02-26,10016,1,1,1,a
1,2013-02-27,8215,1,0,2,a
1,2013-02-28,8301,1,0,3,a
1,2013-03-01,8352,1,0,4,a
1,2013-03-02,7204,1,1,5,a
1,2013-03-03,0,0,0,6,a
1,2013-03-04,8884,1,0,0,a
1,2013-03-05,10207,1,1,1,a
1,2013-03-06,8166,1,0,2,a
1,2013-03-07,10286,1,1,3,a
1,2013-03-08,9975,1,1,4,a
1,2013-03-09,5935,1,0,5,a
1,2013-03-10,0,0,1,6,a
1,2013-03-11,8586,1,0,0,a
1,2013-03-12,8852,1,0,1,a
1,2013-03-13,10143,1,1,2,a
1,2013-03-14,10341,1,1,3,a
1,2013-03-15,8025,1,0,4,a
1,2013-03-16,6028,1,0,5,a
1,2013-03-17,6910,1,1,6,a
1,2013-03-18,10835,1,1,0,a
1,2013-03-19,8837,1,0,1,a
1,2013-03-20,8973,1,0,2,a
1,2013-03-21,10109,1,1,3,a
1,2013-03-22,10482,1,1,4,a
1,2013-03-23,6262,1,0,5,a
1,2013-03-24,0,0,0,6,a
1,2013-03-25,11142,1,1,0,a
1,2013-03-26,10800,1,1,1,a
1,2013-03-27,10482,1,1,2,a
1,2013-03-28,10840,1,1,3,a
1,2013-03-29,10539,1,1,4,a
1,2013-03-30,6416,1,0,5,a
1,2013-03-31,0,0,1,6,a
1,2013-04-01,8877,1,0,0,a
1,2013-04-02,10412,1,1,1,a
1,2013-04-03,10569,1,1,2,a
1,2013-04-04,8140,1,0,3,a
1,2013-04-05,9037,1,0,4,a
1,2013-04-06,7289,1,1,5,a
1,2013-04-07,0,0,0,6,a
1,2013-04-08,10697,1,1,0,a
1,2013-04-09,8722,1,0,1,a
1,2013-04-10,10651,1,1,2,a
1,2013-04-11,8973,1,0,3,a
1,2013-04-12,9111,1,0,4,a
1,2013-04-13,6280,1,0,5,a
1,2013-04-14,0,0,1,6,a
1,2013-04-15,8595,1,0,0,a
1,2013-04-16,10977,1,1,1,a
1,2013-04-17,8565,1,0,2,a
1,2013-04-18,8736,1,0,3,a
1,2013-04-19,10186,1,1,4,a
1,2013-04-20,6986,1,1,5,a
1,2013-04-21,0,0,0,6,a
1,2013-04-22,8221,1,0,0,a
1,2013-04-23,9934,1,1,1,a
1,2013-04-24,8749,1,0,2,a
1,2013-04-25,10851,1,1,3,a
1,2013-04-26,8551,1,0,4,a
1,2013-04-27,7553,1,1,5,a
1,2013-04-28,0,0,0,6,a
1,2013-04-29,10339,1,1,0,a
1,2013-04-30,10351,1,1,1,a
1,2013-05-01,9735,1,1,2,a
1,2013-05-02,7907,1,0,3,a
1,2013-05-03,8886,1,0,4,a
1,2013-05-04,5324,1,0,5,a
1,2013-05-05,0,0,1,6,a
1,2013-05-06,7897,1,0,0,a
1,2013-05-07,9992,1,1,1,a
1,2013-05-08,10191,1,1,2,a
1,2013-05-09,7771,1,0,3,a
1,2013-05-10,10079,1,1,4,a
1,2013-05-11,6109,1,0,5,a
1,2013-05-12,0,0,0,6,a
1,2013-05-13,9664,1,1,0,a
1,2013-05-14,8157,1,0,1,a
1,2013-05-15,7735,1,0,2,a
1,2013-05-16,7266,1,0,3,a
1,2013-05-17,8500,1,0,4,a
1,2013-05-18,5636,1,0,5,a
1,2013-05-19,0,0,1,6,a
1,2013-05-20,7887,1,0,0,a
1,2013-05-21,9378,1,1,1,a
1,2013-05-22,8190,1,0,2,a
1,2013-05-23,7978,1,0,3,a
1,2013-05-24,8524,1,0,4,a
1,2013-05-25,5887,1,1,5,a
1,2013-05-26,0,0,0,6,a
1,2013-05-27,9108,1,1,0,a
1,2013-05-28,7922,1,0,1,a
1,2013-05-29,8805,1,1,2,a
1,2013-05-30,7937,1,0,3,a
1,2013-05-31,7840,1,0,4,a
1,2013-06-01,5111,1,0,5,a
1,2013-06-02,0,0,1,6,a
1,2013-06-03,7754,1,0,0,a
1,2013-06-04,8411,1,0,1,a
1,2013-06-05,8892,1,1,2,a
1,2013-06-06,7857,1,0,3,a
1,2013-06-07,7790,1,0,4,a
1,2013-06-08,5274,1,0,5,a
1,2013-06-09,0,0,1,6,a
1,2013-06-10,7756,1,0,0,a
1,2013-06-11,7528,1,0,1,a
1,2013-06-12,9022,1,1,2,a
1,2013-06-13,8880,1,1,3,a
1,2013-06-14,7610,1,0,4,a
1,2013-06-15,5371,1,0,5,a
1,2013-06-16,0,0,0,6,a
1,2013-06-17,7974,1,1,0,a
1,2013-06-18,7486,1,0,1,a
1,2013-06-19,7640,1,0,2,a
1,2013-06-20,7314,1,0,3,a
1,2013-06-21,6951,1,0,4,a
1,2013-06-22,5127,1,0,5,a
1,2013-06-23,0,0,0,6,a
1,2013-06-24,8339,1,1,0,a
1,2013-06-25,7642,1,1,1,a
1,2013-06-26,6782,1,0,2,a
1,2013-06-27,6849,1,0,3,a
1,2013-06-28,8380,1,1,4,a
1,2013-06-29,5115,1,0,5,a
1,2013-06-30,4810,1,0,6,a
1,2013-07-01,6605,1,0,0,a
1,2013-07-02,7223,1,1,1,a
1,2013-07-03,7988,1,1,2,a
1,2013-07-04,8117,1,1,3,a
1,2013-07-05,6594,1,0,4,a
1,2013-07-06,4496,1,0,5,a
1,2013-07-07,0,0,1,6,a
1,2013-07-08,6692,1,0,0,a
1,2013-07-09,6564,1,0,1,a
1,2013-07-10,6419,1,0,2,a
1,2013-07-11,7215,1,1,3,a
1,2013-07-12,6589,1,0,4,a
1,2013-07-13,4373,1,0,5,a
1,2013-07-14,0,0,1,6,a
1,2013-07-15,7200,1,1,0,a
1,2013-07-16,6911,1,1,1,a
1,2013-07-17,7450,1,1,2,a
1,2013-07-18,6280,1,0,3,a
1,2013-07-19,6626,1,0,4,a
1,2013-07-20,3621,1,0,5,a
1,2013-07-21,0,0,0,6,a
1,2013-07-22,6343,1,0,0,a
1,2013-07-23,7509,1,1,1,a
1,2013-07-24,7713,1,1,2,a
1,2013-07-25,5789,1,0,3,a
1,2013-07-26,5769,1,0,4,a
1,2013-07-27,3914,1,0,5,a
1,2013-07-28,3781,1,0,6,a
1,2013-07-29,7262,1,1,0,a
1,2013-07-30,5332,1,0,1,a
1,2013-07-31,7229,1,1,2,a
1,2013-08-01,5633,1,0,3,a
1,2013-08-02,7032,1,1,4,a
1,2013-08-03,3235,1,0,5,a
1,2013-08-04,4009,1,0,6,a
1,2013-08-05,7053,1,1,0,a
1,2013-08-06,5994,1,0,1,a
1,2013-08-07,5120,1,0,2,a
1,2013-08-08,5802,1,0,3,a
1,2013-08-09,4882,1,0,4,a
1,2013-08-10,4077,1,0,5,a
1,2013-08-11,0,0,0,6,a
1,2013-08-12,5240,1,0,0,a
1,2013-08-13,6055,1,1,1,a
1,2013-08-14,5192,1,0,2,a
1,2013-08-15,6194,1,1,3,a
1,2013-08-16,6943,1,1,4,a
1,2013-08-17,4508,1,1,5,a
1,2013-08-18,3687,1,0,6,a
1,2013-08-19,5281,1,0,0,a
1,2013-08-20,6639,1,1,1,a
1,2013-08-21,5945,1,1,2,a
1,2013-08-22,4660,1,0,3,a
1,2013-08-23,6405,1,1,4,a
1,2013-08-24,2925,1,0,5,a
1,2013-08-25,0,0,1,6,a
1,2013-08-26,4878,1,0,0,a
1,2013-08-27,5113,1,0,1,a
1,2013-08-28,5299,1,0,2,a
1,2013-08-29,4694,1,0,3,a
1,2013-08-30,5082,1,0,4,a
1,2013-08-31,4404,1,1,5,a
1,2013-09-01,0,0,1,6,a
1,2013-09-02,4550,1,0,0,a
1,2013-09-03,4906,1,0,1,a
1,2013-09-04,4981,1,0,2,a
1,2013-09-05,5453,1,0,3,a
1,2013-09-06,5403,1,0,4,a
1,2013-09-07,3748,1,0,5,a
